ID,Title,Year,Journal/Conference,Author,Keyword,Quality,Summary,Timestamp,Contributor,Link
1,Various Approaches to a Human Preference Analysis in a Digital Signage Display Design,2015,IEEE ACCESS,Albergo et al.,old study/visual guidance/multimedia,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",2019/01/12/15/30/28,Jinki,Albergo et al. - 2015 - Various Approaches to a Human Preference Analysis in a Digital Signage Display Design
2,Cognitive Cost of Using Augmented Reality Displays,2017,TVCG,Baumeister et al.,introduction/related works/part-task training/meta-analysis,high,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.?",2018/12/28/15/30/28,Jinki,Baumeister et al. - 2017 - Cognitive Cost of Using Augmented Reality Displays
3,Procedural simulation A primer,2006,TVCG,Dawson,old study/introduction/part-task/haptic display/education/simulation/modeling,low,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",2018/12/28/15/30/28,Jinki,Dawson - 2006 - Procedural simulation A primer
4,Avatars versus agents A meta-analysis quantifying the effect of agency on social influence,2015,TVCG,Fox et al.,old study/introduction/part-task,high,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/28/15/30/28,Jinki,Fox et al. - 2015 - Avatars versus agents A meta-analysis quantifying the effect of agency on social influence
5,Virtual reality simulation for the operating room Proficiency-based training as a paradigm shift in surgical s,2005,IEEE ACCESS,Gallagher et al.,introduction/related works,high,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/28/15/30/28,Jinki,Gallagher et al. - 2005 - Virtual reality simulation for the operating room Proficiency-based training as a paradigm shift in surgical s
6,'Being' There The Subjective Experience of Presence,1992,TVCG,Heeter,old study/visual guidance/part-task,high,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum",2018/12/28/15/30/28,Jinki,Heeter - 1992 - iBeingi There The Subjective Experience of Presence
7,Modeling Instruction An Effective Model for Science Education The authors describe a Modeling Instr,2008,PAMI,"Jackson, Dukerich, Hestenes",introduction/related works/spatio-temporal model/display design,low,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/28/15/30/28,Jinki,"Jackson, Dukerich, Hestenes - 2008 - Modeling Instruction An Effective Model for Science Education The authors describe a Modeling Instr"
8,Contextual cueing implicit learning and memory of visual context guides spatial attention,1998,IEEE ACCESS,"Jiang, Chun",introduction/related works,medium,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness.",2018/12/28/15/30/28,Jinki,"Jiang, Chun - 1998 - Contextual cueing implicit learning and memory of visual context guides spatial attention"
9,Recalibration of perceived distance in virtual environments occurs rapidly and transfers asymmetrically across sca,2014,PAMI,Kelly et al.,old study/introduction/simulation,medium,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.",2018/12/28/15/30/28,Jinki,Kelly et al. - 2014 - Recalibration of perceived distance in virtual environments occurs rapidly and transfers asymmetrically across sca
10,The effects of virtual human's spatial and behavioral coherence with physical objects on social presence in AR,2017,TVCG,Kim et al.,introduction/related works/modeling,medium,"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga.?",2018/12/30/15/30/28,Sangho,Kim et al. - 2017 - The effects of virtual human's spatial and behavioral coherence with physical objects on social presence in AR
11,Limited Field of View of Head-Mounted Displays Is Not the Cause of Distance Underestimation in Virtual,2003,IEEE ACCESS,"Knapp, Loomis",old study/visual guidance,medium,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.?",2018/12/30/15/30/28,Sangho,"Knapp, Loomis - 2003 - Limited Field of View of Head-Mounted Displays Is Not the Cause of Distance Underestimation in Virtual"
12,Measuring the effects through time of the influence of visuomotor and visuotactile synchronous stimulation on,2014,ISMAR 2015,"Kokkinara, Slater",multimedia/paradigm shift,medium,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.?",2018/12/30/15/30/28,Sangho,"Kokkinara, Slater - 2014 - Measuring the effects through time of the influence of visuomotor and visuotactile synchronous stimulation on"
